loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label
अंगूर,انگور,ŋɡuːr,ɒŋvr,Grape,Angor,0.8,0.75,0.1927083333333333,0.21875,4.40625,0.1927083333333333,5,loan
अंगूरी,انگوری,ŋɡuːriː,ɒŋvrj,Angoori,Anguri,0.8571428571428571,0.8,0.1791666666666666,0.2083333333333333,4.1,0.1791666666666666,6,loan
अंजाम,انجام,ɲd͡ʒaːm,ɒnd͡ʒɒm,result,Do,0.5714285714285714,0.2,0.2333333333333333,0.2583333333333333,2.075,0.2541666666666666,5,loan
अंदर,اندر,ndər,ɒndr,Inside,Inside out,0.5,0.5,0.1979166666666666,0.2291666666666666,3.625,0.1979166666666666,4,loan
अंदरुनी,اندرونی,ndəruniː,ɒndrvnj,inside,Internal,0.625,0.5714285714285714,0.175595238095238,0.2083333333333333,3.625,0.175595238095238,7,loan
अंदाज़,اندازه,ndaːz,ɒndɒzh,style,Size,0.6666666666666666,0.3333333333333333,0.3194444444444445,0.3541666666666667,2.6666666666666665,0.3541666666666667,6,loan
अंदेशा,اندیشه,ndeʃaː,ɒndjʃh,suspect,Thought,0.6666666666666666,0.5,0.2118055555555555,0.2430555555555555,2.625,0.2291666666666666,6,loan
अक्स,عکس,aksə,ʔks,Aks,Picture,0.5,0.5,0.2864583333333333,0.3229166666666667,2.90625,0.3125,4,loan
अख़बार,اخبار,axbaːr,ɒxbɒr,newspaper,News,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,6,loan
अगर,اگر,aɡər,ɒɡr,If,If,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,3,loan
अगरचे,اگرچه,aɡrət͡ʃe,ɒɡrt͡ʃh,even if,Although,0.375,0.3333333333333333,0.1909722222222222,0.2152777777777777,2.145833333333333,0.2083333333333333,5,loan
अचार,آچار,at͡ʃaːr,ɒt͡ʃɒr,Pickle,Wrench,0.4285714285714285,0.0,0.0520833333333333,0.0520833333333333,0.625,0.0520833333333333,4,loan
अजनबी,اجنبی,ad͡ʒnəbiː,ɒd͡ʒnbj,Stranger,Foreigner,0.4444444444444444,0.3333333333333333,0.1840277777777778,0.2083333333333333,1.8541666666666667,0.2013888888888888,5,loan
अज़दहा,اژدها,azdəɦaː,ɒʒdhɒ,azadaha,Dragon,0.8571428571428571,0.1666666666666666,0.2048611111111111,0.2222222222222222,1.7916666666666667,0.2222222222222222,6,loan
अज़ान,اذان,azaːn,ɒzɒn,azaan,اذان,0.6,0.0,0.0520833333333333,0.0520833333333333,0.625,0.0520833333333333,5,loan
अज़ाब,عذاب,azaːb,ʔzɒb,punishment,torment,0.6,0.25,0.09375,0.1041666666666666,1.46875,0.09375,5,loan
अज़ीज़,عزیز,aziːz,ʔzjz,Aziz,Dear,0.6,0.5,0.09375,0.1145833333333333,1.8125,0.09375,6,loan
अज़ीम,عظیم,aziːm,ʔzjm,Azeem,enormous,0.6,0.5,0.09375,0.1145833333333333,1.8125,0.09375,5,loan
अजीब,عجیب,ad͡ʒiːb,ʔd͡ʒjb,Strange,Amazing,0.4285714285714285,0.5,0.09375,0.1145833333333333,1.8125,0.09375,4,loan
अतलस,اطلس,atləs,ɒtls,atlas,Atlas,0.4,0.2,0.1958333333333333,0.2166666666666666,1.65,0.2166666666666666,4,loan
अदा,ادا,adaː,ɒdɒ,paid,Pay,0.75,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,3,loan
अदालत,عدالت,adaːlət,ʔdɒlt,Court,Justice,0.5714285714285714,0.3333333333333333,0.2118055555555555,0.2361111111111111,2.1875,0.2291666666666666,5,loan
अनार,انار,anaːr,ɒnɒr,Pomegranate,Pomegranate,0.6,0.0,0.0520833333333333,0.0520833333333333,0.625,0.0520833333333333,4,loan
अन्‍ताकिया,انطاکیه,an‍taːkijaː,ɒntɒkjh,Antioch,Antioch,0.6363636363636364,0.25,0.1640625,0.1822916666666666,1.859375,0.1770833333333333,10,loan
अफ़साना,افسانه,afsaːnaː,ɒfsɒnh,Afsana,Fiction,0.625,0.1666666666666666,0.0763888888888888,0.0833333333333333,1.3541666666666667,0.0763888888888888,7,loan
अफ़सोस,افسوس,afsos,ɒfsvs,regret,Alas,0.4,0.2,0.0791666666666666,0.0916666666666666,1.8,0.0791666666666666,6,loan
अफ़ीम,افیون,afiːm,ɒfjvn,opium,افیون,0.8,0.6,0.2458333333333333,0.275,2.45,0.2625,5,loan
अफ़्ग़ानिस्तान,افغانستان,afɣaːnistaːn,ɒfɣɒnstɒn,Afghanistan,Afghanistan,0.5,0.1,0.1229166666666666,0.1333333333333333,1.125,0.1333333333333333,14,loan
अफ़्सोस,افسوس,afsos,ɒfsvs,sorry,Alas,0.4,0.2,0.0791666666666666,0.0916666666666666,1.8,0.0791666666666666,7,loan
अबाबील,ابابیل,abaːbiːl,ɒbɒbjl,Ababil,ابابیل,0.625,0.1666666666666666,0.0555555555555555,0.0625,0.8958333333333334,0.0555555555555555,6,loan
अब्र,ابر,abrə,ɒbr,abr,Cloud,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,4,loan
अब्रू,ابرو,abruː,ɒbrv,Reputation,ابرو,0.6,0.25,0.109375,0.125,2.375,0.109375,5,loan
अमरूद,امرود,amruːd,ɒmrvd,Guava,guava,0.5,0.2,0.0875,0.1,1.9,0.0875,5,loan
अमीर,امیر,amiːr,ɒmjr,Rich,Amir,0.6,0.25,0.0520833333333333,0.0625,0.96875,0.0520833333333333,4,loan
अरमान,ارمان,armaːn,ɒrmɒn,desires,Goals,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,5,loan
अरस्तू,ارسطو,arstuː,ɒrstv,Aristotle,Aristotle,0.5,0.2,0.0875,0.1,1.9,0.0875,6,loan
अर्क़,عرق,arqə,ʔrɣ,extract,Sweat,0.75,0.5,0.3177083333333333,0.3541666666666667,3.34375,0.34375,5,loan
अर्ज़,عرض,arzə,ʔrz,application,Show,0.5,0.5,0.2864583333333333,0.3229166666666667,2.90625,0.3125,5,loan
अर्ज़ी,ارضی,arziː,ɒrzj,application,Earth,0.6,0.25,0.0520833333333333,0.0625,0.96875,0.0520833333333333,6,loan
अलादीन,علاءالدین,alaːdiːn,ʔlɒʔɒldjn,aladdin,Alaeddin,0.7777777777777778,0.4444444444444444,0.3564814814814815,0.3981481481481481,3.388888888888889,0.3888888888888889,9,loan
अलिफ़,الف,alif,ɒlf,Alif,a thousand,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,5,loan
अव्वल,اول,avvəl,ɒvl,first,First,0.6,0.4,0.3791666666666667,0.4166666666666666,3.1,0.4166666666666666,5,loan
अशरफ़ी,اشرفی,aʃrəfiː,ɒʃrfj,ashrafi,Ashrafi,0.5714285714285714,0.3333333333333333,0.1840277777777778,0.2083333333333333,1.8541666666666667,0.2013888888888888,6,loan
अश्क,اشک,aʃkə,ɒʃk,tear,Tear,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,4,loan
असर,اثر,asər,ɒsr,effect,Effect,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,3,loan
असली,اصلی,asliː,ɒslj,Real,Main,0.6,0.25,0.0520833333333333,0.0625,0.96875,0.0520833333333333,4,loan
अहल ईमान,اهل ایمان,aɦlə iːmaːn,ɒhl ɒjmɒn,ahl iman,Believers,0.6363636363636364,0.125,0.0625,0.0677083333333333,0.859375,0.0625,8,loan
आइंदा,آینده,aːindaː,ɒjndh,in the future,the future,0.7142857142857143,0.4,0.0916666666666666,0.1083333333333333,1.9,0.0916666666666666,5,loan
आईना,آئینه,aːiːnaː,ɒjʔjnh,Mirror,Mirror,0.8571428571428571,0.6666666666666666,0.3819444444444445,0.4305555555555555,4.083333333333333,0.4166666666666667,5,loan
आक़ा,آقا,aːqaː,ɒɣɒ,mentor,Sir,1.0,0.0,0.125,0.125,1.5833333333333333,0.125,4,loan
आख़िरी,آخری,aːxiriː,ɒxrj,last,the final,0.7142857142857143,0.4,0.2291666666666666,0.2583333333333333,2.325,0.25,6,loan
आग़ाज़,آغاز,aːɣaːz,ɒɣɒz,start,the beginning,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,6,loan
आग़ोश,آغوش,aːɣoʃ,ɒɣvʃ,lap,Embrace,0.6,0.25,0.109375,0.125,2.375,0.109375,5,loan
आगाह,آگاه,aːɡaːɦ,ɒɡɒh,warning,Informed,0.8333333333333334,0.0,0.0729166666666666,0.0729166666666666,0.8125,0.0729166666666666,4,loan
आगाही,آگاهی,aːɡaːɦiː,ɒɡɒhj,Warning,Awareness,0.875,0.2,0.0833333333333333,0.0916666666666666,1.225,0.0833333333333333,5,loan
आचार,آچار,aːt͡ʃaːr,ɒt͡ʃɒr,Behaviour,Wrench,0.5,0.0,0.0625,0.0625,0.75,0.0625,4,loan
आज़ाद,آزاد,aːzaːd,ɒzɒd,free,Free,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,5,loan
आज़ादी,آزادی,aːzaːdiː,ɒzɒdj,freedom,the freedom,0.75,0.2,0.075,0.0833333333333333,1.175,0.075,6,loan
आतिश,آتش,aːtiʃ,ɒtʃ,Aatish,Fire,0.6,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,loan
आतिशबाज़ी,آتش‌بازی,aːtiʃbaːziː,ɒtʃ‌bɒzj,fireworks,Fire works,0.7272727272727273,0.25,0.1588541666666666,0.1770833333333333,1.640625,0.171875,9,loan
आदत,عادت,aːdət,ʔɒdt,Habit,Habit,0.6,0.5,0.25,0.2916666666666666,4.0,0.25,4,loan
आदमी,آدمی,aːdmiː,ɒdmj,man,Human,0.6666666666666666,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,loan
-आना,ـانه,-aːnaː,ـɒnh,-To come,it's up,0.8333333333333334,0.3333333333333333,0.125,0.1388888888888889,2.375,0.125,4,loan
आफ़त,آفت,aːfət,ɒft,disaster,آفت,0.6,0.25,0.2552083333333333,0.28125,2.1875,0.28125,4,loan
आफ़ताब,آفتاب,aːftaːb,ɒftɒb,Aftab,آفتاب,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,6,loan
आफ़रीन,آفرین,aːfriːn,ɒfrjn,afreen,good job,0.5714285714285714,0.2,0.05,0.0583333333333333,0.875,0.05,6,loan
आब,آب,aːb,ɒb,now,Water,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,2,loan
