,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0,DNN_logits,MBERT_cos_sim,XLM_cos_sim
0,713,calin,calin,calin*,kalɛ̃,Calina,Calina,0.6666666666666666,0.4,0.2166666666666666,0.2333333333333333,1.8,0.2333333333333333,0,loan,1,,6.1469164,1.0,1.0
1,250,worthless,éhonté,ˈwərθləs,eɔ̃te,worthless,shameless,1.0,0.5714285714285714,0.4523809523809524,0.5059523809523809,4.160714285714286,0.5,8,synonym,0,,-9.201612,0.4819235,0.55684
2,2248,mouflon,dauphine,mouflon*,dofin,mouflon,dauphine,0.625,0.4285714285714285,0.3035714285714285,0.3333333333333333,2.8035714285714284,0.3303571428571428,6,hard_negative,0,,-5.0213833,0.49112853,0.664245
3,836,cep,cèpe,sɛp,sə̀p,pocket,boletus,0.5,0.0,0.0138888888888888,0.0138888888888888,0.1666666666666666,0.0138888888888888,2,loan,1,,0.8360961,0.5411245,0.6071224
4,167,contain,inclure,kənˈteɪn,ɛ̃klyʀ,contain,include,1.0,0.7142857142857143,0.3839285714285714,0.4285714285714285,3.9642857142857135,0.4107142857142856,7,synonym,0,,-3.4518614,0.42330146,0.18496342
5,384,blouson,boubou,blouson*,bubu,jacket,boubou,0.75,0.5714285714285714,0.4285714285714285,0.4702380952380953,3.5892857142857144,0.4672619047619047,3,random,0,671.0,-5.0264635,0.57952505,0.7010037
6,2772,opal,opale,ˈoʊpəl,ɔpal,opal,opal,0.6666666666666666,0.2,0.2125,0.2333333333333333,1.75,0.2333333333333333,1,loan,1,,3.0872796,0.8206142,0.8848728
7,3127,purist,puriste,ˈpjʊrɪst,pyʀist,purist,purist,0.625,0.1428571428571428,0.1755952380952381,0.2023809523809523,1.5178571428571428,0.1904761904761905,1,loan,1,,3.2869117,0.8746417,0.60306937
8,1191,coupé,coupé,coupé*é,kupe,coupé,coupé,0.7142857142857143,0.75,0.3055555555555556,0.3402777777777778,2.5,0.3402777777777778,0,loan,1,,-3.6779222,1.0,1.0
9,3297,roquette,roquette,roquette*,ʀɔkɛt,roquette,roquette,0.8888888888888888,0.375,0.375,0.421875,3.078125,0.4114583333333333,0,loan,1,,5.8007545,1.0,1.0
10,2524,matte,mat,mæt,ma,matte,mat,0.6666666666666666,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,loan,1,,3.0322883,0.52761,0.7142143
11,434,boutade,argot,boutade*,aʀɡo,quip,slang,0.875,0.7142857142857143,0.4761904761904762,0.5297619047619048,4.5,0.5178571428571429,7,random,0,773.0,-7.75838,0.51979464,0.6957145
12,2047,girolle,girolle,girolle*,ʒiʀɔl,girolle,girolle,0.75,0.5,0.3229166666666667,0.3888888888888889,3.9791666666666665,0.3402777777777777,0,loan,1,,6.880182,1.0,1.0
