,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
0,Hindi-Persian,निगाह,نگه,niɡaːɦ,ŋh,gaze,Hold,1.0,0.6,0.5666666666666667,0.625,4.825,0.625,5,-5.1019807,0.8971551060676575,0.6942184567451477,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
1,Hindi-Persian,कामयाब,کامیاب,kaːmjaːb,kɒmjɒb,successful,Success,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,6,-4.459383,0.93179190158844,0.7253506779670715,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
2,Hindi-Persian,क़ुस्तुंतुनिया,قسطنطنیه,qustuntunijaː,ɣstntnjh,Qustuntuniya,Constantinople,0.5384615384615384,0.4166666666666667,0.3263888888888889,0.3645833333333333,2.989583333333333,0.3611111111111111,14,-20.45721,0.8522405624389648,0.6295551657676697,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
3,Hindi-Persian,शुतुरमुर्ग़,شترمرغ,ʃuturmurɣə,ʃtrmrɣ,ostrich,شترمرغ,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,11,-5.761602,0.869394063949585,0.5102410912513733,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
4,Hindi-Persian,शाबाश,شاباش,ʃaːbaːʃ,ʃɒbɒʃ,Well done,Very good,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,-3.2536435,0.9088366627693176,0.7342008352279663,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
5,Hindi-Persian,आब,آب,aːb,ɒb,now,Water,0.6666666666666666,0.0,0.0625,0.0625,0.75,0.0625,2,-3.481923,0.8495599031448364,0.702793300151825,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
6,Hindi-Persian,शरमिंदा,شرمنده,ʃərmindaː,ʃrmndh,Embarrassed,Ashamed,0.4444444444444444,0.375,0.2552083333333333,0.2864583333333333,2.515625,0.28125,7,-1.8537099999999997,0.9111614227294922,0.6983931064605713,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
7,Hindi-Persian,ख़ाक,خاک,xaːk,xɒk,dry,Soil,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,4,-1.5513833000000001,0.8225706815719604,0.6397693157196045,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
8,Hindi-Persian,इक़रार,اقرار,iqraːr,ɒɣrɒr,Pledge,Confession,0.6666666666666666,0.0,0.0833333333333333,0.0833333333333333,1.05,0.0833333333333333,6,-0.9088210999999999,0.5681278705596924,0.6318235397338867,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
9,Hindi-Persian,बादाम,بادام,baːdaːm,bɒdɒm,Almond,Almond,0.5714285714285714,0.0,0.05,0.05,0.6,0.05,5,-1.6135049,0.908308207988739,0.6934610605239868,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
