,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,label
0,All_languages,बाज़ूबंद,بازوبند,baːzuːbəndə,bɒzvbnd,armband,Armband,8,-3.5344992,0.8763051629066467,0.6227849125862122,loan
1,All_languages,अफ़साना,افسانه,afsaːnaː,ɒfsɒnh,Afsana,Fiction,7,0.031143538999999998,0.7261738181114197,0.6756026148796082,loan
2,All_languages,ख़ामोश,خاموش,xaːmoʃ,xɒmvʃ,silent,be quite,6,-1.7001398999999997,0.8984519243240356,0.6658168435096741,loan
3,All_languages,तरबूज़,تربز,tərbuːz,trbz,Watermelon,poop,6,-0.87747043,0.8754294514656067,0.6341392397880554,loan
4,All_languages,आसमान,آسمان,aːsmaːn,ɒsmɒn,Sky,the sky,5,-1.0806943000000002,0.8477272391319275,0.7005227208137512,loan
5,All_languages,इक़रार,اقرار,iqraːr,ɒɣrɒr,Pledge,Confession,6,-4.9531384,0.5681226849555969,0.6318235397338867,loan
6,All_languages,तंबू,تنبو,təmbuː,tnbv,Tent,Tent,4,-1.9922212,0.8538159132003784,0.7901286482810974,loan
7,All_languages,आब,آب,aːb,ɒb,now,Water,2,-1.9275308999999998,0.8495697975158691,0.702793300151825,loan
8,All_languages,हादसा,حادثه,ɦaːdsaː,hɒdsh,accident,the accident,5,-0.82836175,0.86766117811203,0.6696993708610535,loan
9,All_languages,बालिश,بالش,baːliʃ,bɒlʃ,Childish,Pillow,5,0.18830705,0.8828535079956055,0.5966184735298157,loan
10,All_languages,लाला,لاله,laːlaː,lɒlh,Lala,لاله,4,-0.34112954,0.8968381881713867,0.6336832046508789,loan
11,All_languages,दस्तख़त,دستخط,dəstəxət,dstxt,Signature,Signature,7,-0.6592637,0.8140392899513245,0.6805640459060669,loan
12,All_languages,आइंदा,آینده,aːindaː,ɒjndh,in the future,the future,5,-3.6952398,0.8163830637931824,0.7080240845680237,loan
13,All_languages,सुराख़,سوراخ,suraːx,svrɒx,eyelet,Hole,6,-2.1433172000000003,0.902113437652588,0.7836636900901794,loan
14,All_languages,जज़्बा,جذبه,d͡ʒəzbaː,d͡ʒzbh,passion,Attraction,6,1.1900038999999998,0.7993218898773193,0.4728259146213532,loan
15,All_languages,शब बख़ैर,شب بخیر,ʃəbə bəxæːr,ʃb bxjr,Shab bhair,Good Night,7,-6.980842599999999,0.866428017616272,0.6244568228721619,loan
16,All_languages,लोबिया,لوبیا,lobijaː,lvbjɒ,cowpea,Beans,6,-0.36827976,0.8973819613456726,0.7405017018318176,loan
17,All_languages,कामयाब,کامیاب,kaːmjaːb,kɒmjɒb,successful,Success,6,-1.6552040000000001,0.9317330718040466,0.7253506779670715,loan
18,All_languages,वर्ज़िश,ورزش,vərziʃ,vrzʃ,work,Sport,7,-0.16035439999999998,0.7872481942176819,0.69007408618927,loan
19,All_languages,साया,سایه,saːjaː,sɒjh,Shadow,Shadow,4,0.42894897,0.8422005772590637,0.5646480917930603,loan
20,All_languages,दीदार,دیدار,diːdaːr,djdɒr,seen,Meet,5,-4.8561225,0.845724880695343,0.7659440040588379,loan
21,All_languages,शाबाश,شاباش,ʃaːbaːʃ,ʃɒbɒʃ,Well done,Very good,5,-5.3572655,0.908852517604828,0.7342008352279663,loan
22,All_languages,माजूफल,مازو,maːd͡ʒuːpʰəl,mɒzv,nutmeg,مازو,6,-2.5093617000000004,0.9113417267799376,0.5992596745491028,loan
23,All_languages,रंजिश,رنجش,rəɲd͡ʒiʃ,rnd͡ʒʃ,enmity,رنجش,5,-2.4979234,0.8634879589080809,0.5614897012710571,loan
24,All_languages,बुनियाद,بنیاد,bunijaːd,bnjɒd,foundation,base on,7,-4.027191999999999,0.8285811543464661,0.710407018661499,loan
25,All_languages,दस्तावेज़,دستاویز,dəstaːvez,dstɒvjz,document,Document,9,-5.5432034,0.8629862666130066,0.6955403089523315,loan
26,All_languages,बेशुमार,بی‌شمار,beʃumaːr,bj‌ʃmɒr,uncountable,Countless,7,0.57415974,0.8850098848342896,0.662560760974884,loan
27,All_languages,तंबाकू,تنباکو,təmbaːkuː,tnbɒkv,Tobacco,Tobacco,6,-0.6558016999999999,0.8272230625152588,0.4718576669692993,loan
28,All_languages,आस्तीन,آستین,aːstiːn,ɒstjn,sleeve,Sleeve,6,-3.059773,0.8992199897766113,0.670281708240509,loan
29,All_languages,शुतुरमुर्ग़,شترمرغ,ʃuturmurɣə,ʃtrmrɣ,ostrich,شترمرغ,11,-3.2185302000000005,0.8693867325782776,0.5103590488433838,loan
30,All_languages,निगाह,نگه,niɡaːɦ,ŋh,gaze,Hold,5,-6.848006699999999,0.8971245288848877,0.6942184567451477,loan
31,All_languages,बादाम,بادام,baːdaːm,bɒdɒm,Almond,Almond,5,-1.7741006999999998,0.9083071947097778,0.6934610605239868,loan
32,All_languages,फ़र्ज़,فرض,fərzə,frz,duty,Duty,6,-1.1193518999999998,0.4664318859577179,0.6645601987838745,loan
33,All_languages,अर्ज़ी,ارضی,arziː,ɒrzj,application,Earth,6,-2.511269,0.8637973666191101,0.629808783531189,loan
34,All_languages,आग़ोश,آغوش,aːɣoʃ,ɒɣvʃ,lap,Embrace,5,-1.0968406000000002,0.8933574557304382,0.6868050694465637,loan
35,All_languages,लाल,لال,laːl,lɒl,red,Red,3,-1.0420253000000002,0.8793737888336182,0.8285547494888306,loan
36,All_languages,इज़ाफ़ा,اضافه,izaːfaː,ɒzɒfh,enlargement,Added,7,-3.9374962,0.6329376101493835,0.5729968547821045,loan
37,All_languages,इलाहाबाद,الله‌آباد,ilaːɦaːbaːd,ɒllh‌ɒbɒd,Allahabad,Allahabad,9,-7.491092999999999,0.8592782616615295,0.5618786811828613,loan
38,All_languages,दामाद,داماد,daːmaːd,dɒmɒd,son in law,son in law,5,-2.4111675999999997,0.93788880109787,0.7429156303405762,loan
39,All_languages,ख़ुशआमदीद,خوش آمدید,xuʃəamdiːd,xvʃ ɒmdjd,happy man,welcome,9,-3.9530443999999996,0.8258796334266663,0.7116242051124573,loan
40,All_languages,क़ुस्तुंतुनिया,قسطنطنیه,qustuntunijaː,ɣstntnjh,Qustuntuniya,Constantinople,14,-17.718782,0.8520894050598145,0.6296384334564209,loan
41,All_languages,पाश,پاشیدن,paːʃ,pɒʃjdn,loop,Sprinkle,6,-12.903442,0.7868467569351196,0.5770703554153442,loan
42,All_languages,बर्दाश्त,برداشت,bərdaːʃtə,brdɒʃt,tolerate,Endurance,8,-0.3706756,0.8238709568977356,0.4967260658740997,loan
43,All_languages,बेवफ़ा,بی‌وفا,bevfaː,bj‌vfɒ,unfaithful,disloyal,6,-2.1065977000000005,0.8836623430252075,0.7187375426292419,loan
44,All_languages,ख़ाक,خاک,xaːk,xɒk,dry,Soil,4,-1.8374939,0.8224914073944092,0.6397693157196045,loan
45,All_languages,अतलस,اطلس,atləs,ɒtls,atlas,Atlas,4,-0.68178505,0.5494904518127441,0.601357102394104,loan
46,All_languages,pluvial,pluvial,ˈpluviəl,plyvjal,pluvial,pluvial,0,-2.3676612,0.9999995231628418,1.0,loan
47,All_languages,galvanize,galvaniser,ˈgælvəˌnaɪz,ɡalvanizəʀ,galvanize,galvanize,2,-1.5284357,0.9116652011871338,0.8621883988380432,loan
48,All_languages,Australasia,Australasie,ˌɔstrəˈleɪʒə,ostʀalazi,Australasia,Australasia,1,-2.3318748,0.9599274992942809,0.8505661487579346,loan
49,All_languages,frivol,frivole,frivol*,fʀivɔl,frivolous,frivolous,1,-2.8253825,0.8348435759544373,0.8472705483436584,loan
50,All_languages,rob,rober,rɑb,ʀɔbəʀ,rob,rober,2,-2.7380588,0.9178515672683716,0.9003945589065552,loan
51,All_languages,hors d'oeuvre,hors-d'œuvre,ɔr dərv,ɔʀs-d'œvʀ,appetizers,appetizers,3,-2.1787784,0.914377987384796,0.6798185110092163,loan
52,All_languages,pulverise,pulvériser,pulverise*,pylveʀizəʀ,pulverise,spray,2,-1.5665135000000001,0.9290618896484376,0.7970817685127258,loan
53,All_languages,nature morte,nature morte,ˈneɪʧər morte*,natyʀə mɔʀt,still lifes,still lifes,0,-3.938098,0.9999995231628418,1.0,loan
54,All_languages,rouet,rouet volant,rouet*,ʀut vɔlɑ̃,spinning wheel,flying spinning wheel,7,-6.2415867,0.96163010597229,0.7723401188850403,loan
55,All_languages,witzchoura,vitchoura,witzchoura*,vitʃuʀa,witzchoura,feature,2,-6.680694,0.9219756126403807,0.8336201906204224,loan
56,All_languages,Portier,Portier,ˈpɔrtiər,pɔʀsjəʀ,Porter,Porter,0,-3.015489,0.9999998807907104,1.0,loan
57,All_languages,Meuse,Meuse,mjuz,mœz,Meuse,Meuse,0,-2.771024,0.9999994039535522,1.0,loan
58,All_languages,Detroit,détroit,ˈdiˌtrɔɪt,detʀwa,Detroit,strait,2,-0.44109929999999997,0.5111860036849976,0.5390968322753906,loan
59,All_languages,tac-au-tac,riposter du tac au tac,tac-au-tac*,ʀipɔstəʀ dy tak o tak,tac-au-tac,retaliate tit for tat,14,-39.18585,0.9213044047355652,0.6268824338912964,loan
60,All_languages,salut des armes,salut des armes,salut* dɪ ɑrmz,salyt dəs aʀm,gun salute,gun salute,0,-9.600325,0.9999997615814208,1.0,loan
61,All_languages,goitre,goitron,goitre*,ɡwatʀɔ̃,,goitron,2,-7.700539999999999,0.9480965137481691,0.7291903495788574,loan
62,All_languages,plein air,plein air,plin ɛr,pləin ɛʀ,plein air,plein air,0,-7.5567117,0.9999996423721312,1.0,loan
63,All_languages,municipality,municipalité,mˌjunɪsəˈpæləti,mynizipalite,municipality,municipality,1,-3.6437004,0.6928162574768066,0.8572825193405151,loan
64,All_languages,pis aller,pis-aller,pis* ˈɔlər,pis-aləʀ,bad luck,second best,1,-1.7523304,0.9451130628585817,0.7657577991485596,loan
65,All_languages,lithofracteur,lithofracteur,lithofracteur*,litɔfʀaktœʀ,lithographer,lithographer,0,-4.2635555,0.9999998807907104,1.0,loan
66,All_languages,plurisecular,pluriséculaire,plurisecular*,plyʀizekylɛʀ,plurisecular,centuries old,3,-14.936951,0.8953859210014343,0.8950678706169128,loan
67,All_languages,metamorphose,métamorphoser,ˌmɛtəˈmɔrfoʊz,metamɔʀfɔzəʀ,metamorphosis,metamorphose,2,-3.7316015,0.7686315774917603,0.6370510458946228,loan
68,All_languages,geodesy,géodésie,ʤiˈɑdəsi,ʒeɔdezi,geodesy,geodesy,4,-2.2398374,0.7228068113327026,0.7227963209152222,loan
69,All_languages,Payette,Payette,peɪɛt,pəɛt,Payette,Payette,0,-2.9074892999999995,0.9999995827674866,1.0,loan
70,All_languages,radiodiffusion,radiodiffusion,radiodiffusion*,ʀadjɔdifysjɔ̃,broadcasting,broadcasting,0,-2.8451395,0.9999998807907104,1.0,loan
